№,Идентификатор,Тип ,Название,Район
578,3722,пруд,б/н,Пушкинский
579,3730,водохранилище,вдхр. на р. Пулковке,Пушкинский
580,3801,пруд,б/н,Петроградский
581,4001,пруд,б/н,Курортный
582,4015,пруд,б/н,Курортный
583,4017,пруд,б/н,Курортный
584,4018,пруд,б/н,Курортный
585,4019,пруд,б/н,Курортный
586,4024,пруд,б/н,Курортный
587,4050,пруд,б/н,Курортный
588,4051,пруд,б/н,Курортный
589,4074,пруд,б/н,Курортный
590,4077,пруд,б/н,Курортный
591,4082,пруд,б/н,Курортный
592,4114,пруд,б/н,Курортный
593,4115,пруд,б/н,Курортный
594,4122,пруд,б/н,Курортный
595,4124,пруд,б/н,Курортный
596,4125,пруд,б/н,Курортный
597,4127,пруд,б/н,Курортный
598,4153,пруд,б/н,Курортный
599,4167,пруд,б/н,Приморский
600,4336,пруд,б/н,Петроградский
601,4340,пруд,б/н,Петроградский
602,4343,пруд,б/н,Петроградский
603,4344,пруд,б/н,Петроградский
604,4350,пруд,б/н,Центральный
605,4358,пруд,б/н,Кронштадтский
606,4360,пруд,б/н,Кронштадтский
607,4361,пруд,б/н,Кронштадтский
608,4363,пруд,б/н,Кронштадтский
609,4364,пруд,б/н,Кронштадтский
610,4365,пруд,б/н,Кронштадтский
611,4414,пруд,б/н,Кронштадтский
612,4417,пруд,б/н,Кронштадтский
613,4495,пруд,б/н,Московский
614,4498,пруд,б/н,Московский
615,4531,пруд,б/н,Кировский
616,4545,пруд,б/н,Кировский
617,4551,пруд,б/н,Кировский
618,4555,пруд,б/н,Кировский
619,4586,пруд,б/н,Фрунзенский
620,4788,пруд,б/н,Колпинский
621,4821,пруд,б/н,Колпинский
622,4833,пруд,б/н,Колпинский
623,4834,пруд,б/н,Колпинский
624,4861,пруд,б/н,Колпинский
625,4862,пруд,б/н,Колпинский
626,4863,пруд,б/н,Колпинский
627,4878,пруд,б/н,Колпинский
628,4889,пруд,б/н,Колпинский
629,4891,пруд,б/н,Колпинский
630,4917,пруд,б/н,Колпинский
631,4934,пруд,б/н,Колпинский
632,4935,пруд,б/н,Колпинский
633,4937,пруд,б/н,Колпинский
634,4943,пруд,б/н,Колпинский
635,4944,пруд,б/н,Колпинский
636,4951,пруд,б/н,Колпинский
637,4955,пруд,б/н,Колпинский
638,4957,пруд,б/н,Колпинский
639,4971,пруд,б/н,Колпинский
640,4973,пруд,б/н,Колпинский
641,4975,пруд,б/н,Колпинский
642,4976,пруд,б/н,Колпинский
643,4986,пруд,б/н,Колпинский
644,4990,пруд,б/н,Колпинский
645,4995,пруд,б/н,Колпинский
646,4997,пруд,б/н,Колпинский
647,5000,пруд,б/н,Колпинский
648,5003,пруд,б/н,Колпинский
649,5005,пруд,б/н,Колпинский
650,5008,пруд,б/н,Колпинский
651,5011,пруд,б/н,Колпинский
652,5014,пруд,б/н,Колпинский
653,5017,пруд,б/н,Колпинский
654,5018,пруд,б/н,Колпинский
655,5020,пруд,б/н,Колпинский
656,5026,пруд,б/н,Колпинский
657,5059,пруд,б/н,Колпинский
658,5079,пруд,б/н,Колпинский
659,5103,пруд,б/н,Пушкинский
660,5104,пруд,б/н,Пушкинский
661,5113,пруд,б/н,Пушкинский
662,5115,пруд,б/н,Пушкинский
663,5120,пруд,б/н,Пушкинский
664,5121,пруд,б/н,Пушкинский
665,5164,пруд,б/н,Пушкинский
666,5205,пруд,б/н,Пушкинский
667,5210,пруд,б/н,Пушкинский
668,5220,пруд,б/н,Пушкинский
669,5229,пруд,б/н,Пушкинский
670,5231,пруд,б/н,Пушкинский
671,5232,пруд,б/н,Пушкинский
672,5288,пруд,б/н,Пушкинский
673,5289,пруд,б/н,Пушкинский
674,5292,пруд,б/н,Пушкинский
675,5295,пруд,б/н,Колпинский
676,6010,пруд,б/н,Курортный
677,6011,пруд,б/н,Курортный
678,6014,пруд,б/н,Курортный
679,6016,пруд,б/н,Курортный
680,6033,пруд,б/н,Курортный
681,6034,пруд,б/н,Курортный
682,6035,пруд,б/н,Курортный
683,6036,пруд,б/н,Курортный
684,6037,пруд,б/н,Курортный
685,6038,пруд,б/н,Курортный
686,6039,пруд,б/н,Курортный
687,6040,озеро,б/н,Курортный
688,6041,озеро,б/н,Курортный
689,6046,озеро,б/н,Курортный
690,6063,озеро,б/н,Курортный
691,6065,озеро,б/н,Красногвардейский
692,6081,пруд,б/н,Кронштадтский
693,6106,пруд,б/н,Красногвардейский
694,6172,пруд,б/н,Фрунзенский
695,6185,озеро,б/н,Красногвардейский
696,6204,пруд,б/н,Курортный
697,6225,пруд,б/н,Курортный
698,6237,пруд,б/н,Курортный
699,6266,пруд,б/н,Курортный
700,6267,пруд,б/н,Курортный
701,6268,пруд,б/н,Выборгский
702,6269,пруд,б/н,Курортный
703,6273,пруд,б/н,Курортный
704,6333,пруд,б/н,Выборгский
705,6356,пруд,б/н,Выборгский
706,6368,пруд,б/н,Курортный
707,6386,пруд,б/н,Приморский
708,6387,пруд,б/н,Приморский
709,6391,пруд,б/н,Приморский
710,6411,пруд,б/н,Кронштадтский
711,6516,пруд,б/н,Курортный
712,6517,пруд,б/н,Приморский
713,6538,пруд,б/н,Кронштадтский
714,6539,пруд,б/н,Кронштадтский
715,6540,пруд,б/н,Кронштадтский
716,6541,пруд,б/н,Кронштадтский
717,6545,пруд,б/н,Красногвардейский
